event_id,shot_id,source_folder,filename,weapon,distance_m,material,outcome,eigene,sensor_position,trigger_repeat,variant,mean_raw,std_raw,min_raw,max_raw,ptp_raw,rms_centered,energy_centered,peak_abs_amplitude,peak_signed_amplitude,peak_position_norm,zero_crossing_rate,skewness,kurtosis,attack_energy_ratio,spectral_centroid_bin,dominant_freq_bin,spec_energy_low_frac,spec_energy_mid_frac,spec_energy_high_frac,crest_factor
1,001,001_p8 10m Holz eigene,mitte1.txt,P8,10.0,Holz,Treffer,True,mitte,1.0,,128.94140625,45.92640687036665,37.0,245.0,208.0,45.936054399023,1080382.0,117.0,117.0,0.4765625,0.095703125,0.2269993029306955,-0.09867831384367598,0.3996003265511643,40.13017844544668,6,0.9917211493721865,0.006795065968259737,0.0014837846595537891,2.5470189272490376
2,001,001_p8 10m Holz eigene,mitte2.txt,P8,10.0,Holz,Treffer,True,mitte,2.0,,130.296875,36.36884814280451,38.0,231.0,193.0,36.44130554741419,679920.0,103.0,103.0,0.966796875,0.10546875,0.134261583123096,-0.013723912826658857,0.5267207906812567,38.03566335343251,8,0.9944839407600758,0.003920604118440571,0.0015954551214834932,2.8264629504878496
3,001,001_p8 10m Holz eigene,oben1.txt,P8,10.0,Holz,Treffer,True,oben,1.0,,128.0390625,51.7965373999179,36.0,245.0,209.0,51.79655212946128,1373636.0,117.0,117.0,0.4375,0.076171875,0.22210205883979786,-0.36071969261292924,0.2998858503999604,42.31063797423138,4,0.9898541195687377,0.0075273190426994345,0.0026185613885628327,2.258837609602067
4,001,001_p8 10m Holz eigene,oben2.txt,P8,10.0,Holz,Treffer,True,oben,2.0,,134.98828125,63.07225410329726,35.0,246.0,211.0,63.45821706051944,2061796.0,118.0,118.0,0.75,0.08203125,0.21299130177687645,-0.7995689752174164,0.10026064654311095,31.56899762671513,5,0.9961875744406028,0.0034351606964810447,0.0003772648629161834,1.8594912599830082
5,001,001_p8 10m Holz eigene,unten1.txt,P8,10.0,Holz,Treffer,True,unten,1.0,,132.1171875,65.37686673885376,36.0,245.0,209.0,65.50638089148262,2197036.0,117.0,117.0,0.279296875,0.0703125,0.24698646946318634,-1.003006475288087,0.5122310239795798,39.854239386232244,6,0.9933604314147322,0.0055605480156182135,0.0010790205696496347,1.786085544735485
6,001,001_p8 10m Holz eigene,unten2.txt,P8,10.0,Holz,Treffer,True,unten,2.0,,131.814453125,64.0589842487545,36.0,246.0,210.0,64.17245137615517,2108469.0,118.0,118.0,0.46875,0.0703125,0.1968327140509665,-1.0104677537971898,0.5372329401096245,36.004498134672964,6,0.9953547295835941,0.0040653017471620695,0.000579968669243982,1.8387952691177225
7,002,002_P8 15m Holz eigene,mitte1.txt,P8,15.0,Holz,Treffer,True,mitte,1.0,,128.21484375,37.79256621232654,37.0,208.0,171.0,37.79317688088685,731302.0,91.0,-91.0,0.453125,0.083984375,0.07386480352001701,-0.6025327079578622,0.44151937229762805,39.98024963871805,6,0.9869290215385804,0.012303938406662739,0.0007670400547568907,2.407842036788752
8,002,002_P8 15m Holz eigene,mitte2.txt,P8,15.0,Holz,Treffer,True,mitte,2.0,,130.822265625,50.60606949632567,40.0,245.0,205.0,50.68470630402232,1315297.0,117.0,117.0,0.439453125,0.0703125,0.17874148228333392,-0.6326293374957954,0.43528571873880956,33.14495381800366,6,0.9933387316542145,0.006249072688636956,0.00041219565714860487,2.3083886349442366
9,002,002_P8 15m Holz eigene,oben1.txt,P8,15.0,Holz,Treffer,True,oben,1.0,,126.736328125,41.530236638711,38.0,223.0,185.0,41.54945754008107,883895.0,95.0,95.0,0.85546875,0.072265625,0.12786746818521588,-0.5601548997555428,0.3100323002166547,33.85046944691067,7,0.9894552717535876,0.010056340542518737,0.0004883877038937002,2.286431776060396
10,002,002_P8 15m Holz eigene,oben2.txt,P8,15.0,Holz,Treffer,True,oben,2.0,,128.423828125,36.372450224661236,38.0,227.0,189.0,36.374919458673716,677445.0,99.0,99.0,0.837890625,0.115234375,0.10365439508882167,-0.16486894064902957,0.30665072441305197,43.88218617862901,15,0.9778052558043324,0.021057050243902704,0.0011376939517649153,2.7216555107360243
